Brand_Name,Item_Name,Number_Likes,Condition,Color,Size,Price,Img_Length,Measurements,Description
Reese Cooper,Fever Dream Cargo Short,4,Gently Used,Black,30,$70 ,3,TRUE,"Heavy nylon
Snap fly, cinch back
Drop cargo pocket
CDG style"
Reese Cooper,Reese cooper hanging cargo pocket short,7,Gently Used,Black,28,$65 ,6,TRUE,"Rick esque cargo shorts from one of Reese coopers first collections
Super nice material almost feels like a super thick crushed nylon but is still 40% cotton
10 pockets in total which is crazy 4 hidden pockets"
Reese Cooper,New Reese Cooper Sweatpants Black Size Small,2,New,Black,30,$100 ,6,TRUE,"These are a Brand New Pair of Reese Cooper Black Sweatpants in a Size Small
100% Cotton
New with Tags
Made In USA
MSRP: $348"
Reese Cooper,River Runs Through SS21 Cargo Pants Cotton,9,New,White,36,$145 ,5,TRUE,Brand new with tag. Retails $360+ Perfect for spring.
Levi's × Reese Cooper,RCI x Levi’s Straight Fit Canvas Pant,4,Gently Used,Cream,28,$85 ,5,TRUE,"Reese cooper x Levi’s pant in Natural color
Retailed at $100
Attached signature RC belt hook, green RCI stitching on the knee, and RCI X Levi tag on the back
Straight fit

Worn lightly. 9/10 condition
**no returns**
**no international shipping**"
Reese Cooper,Reese Cooper coordinates paint splatter jeans,11,Gently Used,Denim,30,$126 ,9,TRUE,"Beautiful pair of jeans from the lone pine AW18 collection
They’re labeled a size 28 but the waist measures 30”
Nearly new, only worn a handful of times
Paint splatter on the front with coordinates embroidered on the thigh
Message bio for offers"
Reese Cooper,Reese Cooper Canyon Camo Cargo Pants,18,Gently Used,Canyon,34,$200 ,7,TRUE,"Gently worn SS21 Canyon Camo cargo pants by Reese Cooper. Only worn a handful of times, dry cleaned and stored since Spring. Great pair of baggy fit cargos with a very unique camo print, called “canyon camo”. This pair also features drawstrings on/in the cargo pockets, as well as at the leg openings so you can alter the fit.
Please ask any and all questions before purchasing or submitting a binding offer. I usually ship within 48 hours of purchase.
All sales are finals, no returns."
Reese Cooper,Reese Cooper Shorts,6,Gently Used,Red,32,$89 ,2,FALSE,"RED REESE COOPER SHORTS
They didn't have a filter for Reese? smh
size 32-33
Excellent Condition, Only worn twice
Please buy with confidence"
Reese Cooper,Reese Cooper Sweatpants,17,Gently Used,Black,32,$120 ,7,TRUE,"Title: Reese Cooper Sweatpants
Color: Black
Size: Medium
Measurements:
-Inseam (Crotch to Bottom): 31""
-Outseam (Full Length): 42""
-Waist: 30-34""
The condition of this item is pre-owned. There are no flaws, just normal wear. Please view all photos provided to ensure that the condition of the item suits you.
If you have any questions at all please don’t hesitate to message me. Thank you for shopping and please check out my other listings!"
Reese Cooper,Reese Cooper Drop Pocket Cargo Shorts,24,Used,Black,30,$90 ,7,TRUE,"Good condition
Super cool and unique design, total of 8 pockets
Tagged 32 but fit closer to size 30-31
All measurements are flat across (and the waist is stretchy)
The zipper sometimes gets undone but I think it’s because they are too small on me"
