Brand_Name,Item_Name,Number_Likes,Condition,Color,Size,Price,Img_Length,Measurements,Description
Reese Cooper,Reese Cooler Wool Flannel,14,Condition Gently Used,Color Brown,Size Men's / US L / EU 52-54 / 3,$170 ,6,TRUE,"Thick wool brown flannel from Reese Cooper
Nice cropped piece
Recently Dry Cleaned
Size Large, fits L-XL"
Levi's × Reese Cooper,Reese Cooper x Levi’s Trucker Jacket Green,136,Condition Gently Used,Color Green,Size Men's / US S / EU 44-46 / 1,$162 ,3,FALSE,"Size: Small
Condition: 9.5/10 (worn once) [I carefully removed the patch on the sleeve, everything else is unaltered]"
Reese Cooper,Washed Denim Jacket SS21 <U+0001F33B><U+0001F352>,128,Condition New,Color Washed indigo,Size Men's / US S / EU 44-46 / 1,$240 ,22,TRUE,"Extremely rare. Reese Cooper® Washed Denim Jacket Spring/Summer 2021 ""River Runs Through""
CONDITION: 10/10
Brand New, pet & smoke free storage, 100% rating since original tags, 1st Owner. Retail $575 + $30 (shipping) + $48.11 (duties) = $653.11
Made with deadstock denim, features double chest pleats and patch pockets. Jacket is washed using eco friendly Wiser Wash® process.
TEXT on REESE COOPER SLEEVE LABEL
""HOOKED ON THE HIGHWAY. DREAMING OF
A PLACE WITHOUT KNOWING ITS NAME.
BATHED IN SUNLIGHT, DECORATED WITH
LONESOME GAS STATIONS - STEAMING
ROADS THAT CUT THROUGH THE WINDING
PEAKS AND THICK FORESTS - SLICING
THROUGH THE BROWN, DUSTY CARPET
THAT STRETCHES OUT TOWARDS THE
OCEAN.
MOUNTAINS CASTING SHADOWS ACROSS
LAKES, MOONLIGHT ILLUMINATING THE
DESERT - LOST PEOPLE SEARCHING FOR
THEIR PLACE UNDER A FAMILIAR SKY.
THIS IS A STORY FUELED BY ESCAPISM
AND EXPLORATION. CLOTHING, OBJECTS
AND VISUALS INSPIRED BY WHAT YOU
NEED, WHAT YOU CHERISH AND WHAT YOU
ACQUIRE ON THE JOURNEY""
Reese Cooper Release Listing
instagram.com/p/CNA3yewAYKC/
+ Released March 29, 2021 (SS21)
+ Washed Indigo (color)
+ Embroidered Reese Cooper® Patch on Sleeve
+ Reese Cooper® RCI Utility Hook
+ Reese Cooper® embossed buttons
+ Wiser Wash® process
+ 2 main patch pockets
+ Pleated Placket
+ Triple Needle Sewing
+ Double Pleated Chest
+ Back Pleats
+ 100% Cotton
+ Made in Los Angeles, USA
Sizing Info
Small (fits Slim & Cropped)
<U+2730> Bundle Deals (2+ pieces), Offers, & Questions Welcome! <U+2730>"
Reese Cooper,New Reese Cooper Rip Stop Camo Windbreaker Jacket Size XXL,51,Condition New,Color Camo,Size Men's / US XXL / EU 58 / 5,$103 ,2,TRUE,"This is a Brand New Reese Cooper Rip Stop Camo Windbreaker Jacket Size XXL
New With Tags
100% Polyester"
Reese Cooper,Reese Cooper A/W ‘21 Denim Jacket,15,Condition Gently Used,Color Blue,Size Men's / US S / EU 44-46 / 1,$185 ,5,TRUE,"Worn a few times, doesn’t fit in my closet anymore!"
Reese Cooper,Split Anorak AW19,0,Condition New,Color Navy,Size Men's / US M / EU 48-50 / 2,$170 ,15,TRUE,"- 100% Cotton
- Deconstructed Cut
- Drawstring Hood
- ¼ Zip Closure
- 2 Chest Patch Pockets
- 2 Side Entry Pockets
- Woven Brand Patch
- Drawstring Hem
- Made in the USA
The AW19 Hitchhiking collection by Reese Cooper takes hold of the peculiar loneliness that accompanies the vastness of the USA and makes it tangible. This deconstructed navy anorak takes a traditional 1940’s walking jacket shape and replaces the bottom half in checked flannel. Utilitarian patch pockets and a drawstring hood complete the ready-for-anything Americana-influenced aesthetic."
Reese Cooper,Reese Cooper Sherpa Fleece Jacket in Navy Blue,18,Condition New,Color Navy,Size Men's / US XL / EU 56 / 4,$211 ,8,TRUE,"Condition: Brand New
Size: XL
Shipping: Ships within 2 business days
Feel free to ask any other questions!
No trades
ALL SALES FINAL
Reese Cooper"
Reese Cooper,Reese Cooper DIY corduroy chore coat khaki beige tan,142,Condition New,Color Khaki,Size Men's / US L / EU 52-54 / 3,$180 ,3,FALSE,"This is a fun DIY piece from Reese Cooper he came out with near the beginning of the pandemic. The package contains all of the fabric and materials needed to construct the jacket (in any size!!) and a sewing kit to put it all together. All factory sealed for you to enjoy! Does not include the patches which were sold separately.
Feel free to message me here or IG please @hottake.wav and I’ll get back to you quickly. Located in Chicago.
International buyers it’s gonna be pricey to get this over your way but if you’re interested I’m happy to provide a shipping quote."
Reese Cooper,Brushed Cotton Canvas Work Jacket - Green,105,Condition Gently Used,Color Green,Size Men's / US S / EU 44-46 / 1,$210 ,6,TRUE,"In good condition with some minor signs of wear
Fits like a small"
Reese Cooper,RARE GRAIL Reese Cooper utilitarian Sherpa fleece jacket,27,Condition New,Color Mutli,Size Men's / US L / EU 52-54 / 3,$224 ,3,TRUE,"Beautiful piece
Super comfy
Tagged L, fits L-XL
100% authentic
Ships world wide
No returns or refunds
**limited time price only*"
