"Brand_Name","Item_Name","Number_Likes","Condition","Color","Size","Price","Img_Length","Measurements","Description","Category"
"Reese Cooper","Reese Cooper Wilson Boots",25,"Condition New","Color Black","Size Men's / US 8 / EU 41",308,8,FALSE,"Reese Cooper Wilson Boot in Black Ballistic Nylon. New, never worn. Two extra pairs of laces.
Size 41. Originally bought for $598. No box.","Footwear"
"Reese Cooper","Wilson Boots (OG Colorway)",7,"Condition Gently Used","Color Beige suede","Size Men's / US 11 / EU 44",369,7,FALSE,"Retail: $598
Send Offers","Footwear"
"Reese Cooper","Reese Cooper Wilson Boot in Beige Suede",57,"Condition Gently Used","Color Cream","Size Men's / US 10 / EU 43",345,17,FALSE,"Reese staple
Size 43; Fits US 10
Gently used in the sense i only worn a couple times
Has a hint of red from when I hiked in the Grand Canyon
Other than that pretty good condition
Comes with all laces, dust bags and boots only","Footwear"
"Reese Cooper","Reese Cooper Wilson Boot In Black Ballistic Nylon",13,"Condition Gently Used","Color Black","Size Men's / US 12.5 / EU 45-46",445,10,FALSE,"Like new, gently worn. European size is 46.","Footwear"
"Reese Cooper","Reese Cooper Wilson Boot in Beige Suede",43,"Condition Gently Used","Color Cream","Size Men's / US 10 / EU 43",283,17,FALSE,"Reese staple
Size 43; Fits US 10
Gently used in the sense i only worn a couple times
Has a hint of red from when I hiked in the Grand Canyon
Other than that pretty good condition
Comes with all laces, dust bags and boots only","Footwear"
"Reese Cooper","Reese Cooper Wilson Boot",15,"Condition Gently Used","Color Beige","Size Men's / US 11.5 / EU 44-45",300,7,FALSE,"Reese Cooper Wilson Boot. Purchased from reese cooper in 2021. Only worn once for like 15 mins. so basically brand new! Size EU 45/US 11.5. Open to offers and shipping us only rn. DM for international shipping.","Footwear"
"Reese Cooper","Reese Cooper Wilson Boot 43",33,"Condition New","Color Beige","Size Men's / US 10 / EU 43",310,7,FALSE,"New never worn in box.","Footwear"
"Reese Cooper","WILSON BOOT IN BLACK BALLISTIC NYLON",4,"Condition New","Color Black","Size Men's / US 8 / EU 41",400,8,FALSE,"Amazing condition, I've only put them on once to try them on. A tad too small for me, unfortunately. I bought these boots on the ssense website for $598. Comes with two other laces and is in its original shoebox!
DESCRIPTION:
Named after the incredible show location for our AW21 collection and show, Pyrophyte, the Wilson Boot is a hiking boot that can be worn on & off the trail with ease. Handcrafted in Italy with ballistic nylon and supported by our favorite Vibram sole. The Wilson comes with 3 pairs of laces & about 100+ ways to tie them.
DETAILS:
• Vibram sole
• Ballistic nylon upper
• Rubberised coating covering the seam connecting sole & upper
• Full leather lining
• RCI insole
• 3 lace options included
• Double speed hooks
• RCI ankle lace eyelet detail
• MADE IN ITALY","Footwear"
"Reese Cooper","Reece Cooper Wilson Boots Size 45",41,"Condition Gently Used","Color Beige","Size Men's / US 11.5 / EU 44-45",200,11,FALSE,"Reece Cooper Wilson Boots
Sizing is closer to US 11.5. I am a TTS US 12, so these were too small.
8/10 Great Condition
Minimal Wear On Soles
Comes with red and beige laces. Original box included.
Open to offers.
Shipping from Toronto.","Footwear"
"Reese Cooper","Wilson Hiking Trail Boot Beige Suede 42 9/9.5",77,"Condition Gently Used","Color Beige","Size Men's / US 9 / EU 42",425,9,FALSE,"Worn ~10x
Great boot, just downsizing my rotation.
Comes with all 3 laces and OG box.
Ships asap.
Fits tts 9-9.5.
As is
Retail $598.
• Vibram sole
• Italian suede upper
• Rubberised coating covering the seam connecting sole & upper
• Full leather lining
• RCI insole
• 3 lace options included
• Double speed hooks
• RCI ankle lace eyelet detail
• MADE IN ITALY","Footwear"
"Reese Cooper","Wilson Boot in Beige Suede",10,"Condition New","Color Beige suede","Size Men's / US 10 / EU 43",340,5,FALSE,"new, never worn outdoors, in original box/packaging with 3 colors of laces","Footwear"
"Reese Cooper × Vibram","Reese Cooper Wilson Vibram Boot Black",78,"Condition Gently Used","Color Black","Size Men's / US 9.5 / EU 42-43",420,23,FALSE,"EU 42, fits like a true US Mens 9.5 to 9. I wear a 9.5 in Jordan 1s for reference and these fit.
Believe these retail for 600.
Love these boots. Absolutely amazing construction, all the details are painstakingly conceived. Italian leather, the Vibram sole, the hardware. My favorite part is definitely the creativity allowed by the lacing.<U+0001F90C>
Didn’t wear these much. Very clean, the only flaws are that 3/4 aglets are missing on the laces, I don’t have the alternate laces, and there is no box. A bit of dirt on the sole.
I ship internationally
All measurements are done by hand, please allow me a +/-0.5in margin of error thank you
Dm with offers or concerns
Follow my shop for interesting things.
Thank you","Footwear"
"Reese Cooper","Wilson Boot",16,"Condition Gently Used","Color Grey","Size Men's / US 11.5 / EU 44-45",315,6,FALSE,"Beige Suede Wilson Boot.
Made in Italy.
Vibram sole.
Alternate laces","Footwear"
"Reese Cooper","Reese Cooper Wilson Boot in Beige Suede",15,"Condition Gently Used","Color Beige","Size Men's / US 11 / EU 44",370,14,FALSE,"Worn one time.
Extremely good condition.
OG Everything.
Retail $598","Footwear"
"Reese Cooper","Reese Cooper Wilson Boots White Leather Size 42 9",10,"Condition Gently Used","Color White","Size Men's / US 9 / EU 42",266,9,FALSE,"Reese Cooper Wilson Boots
Only worn 1x
Made in Italy
Vibram Midsole
Great quality.
SIZE 42. Can fit US MENS Size 9-9.5","Footwear"
"Reese Cooper","Wilson Boot",12,"Condition Gently Used","Color Black","Size Men's / US 13 / EU 46",240,12,FALSE,"Size 46 Reese Cooper Wilson Boots. Fit like a true to size 12. Only worn once. Comes with box, bag, extra laces.
• Vibram sole
• Ballistic nylon upper
• Rubberised coating covering the seam connecting sole & upper
• Full leather lining
• RCI insole
• 3 lace options included
• Double speed hooks
• RCI ankle lace eyelet detail
• MADE IN ITALY
From a pet and smoke free environment.","Footwear"
"Reese Cooper","Reese Cooper Wilson Hiking Boots",42,"Condition Gently Used","Color Black","Size Men's / US 9 / EU 42",419,4,FALSE,"Beautiful pair of Reese Cooper boots in the black and green colorway
Made of ballistic nylon, leather and suede
Vibram sole
Made in Italy
Size EU 42/ US 9 fits true to size
Worn 2 times only
9.5/10 condition
No original box, will ship with replacement","Footwear"
"Reese Cooper","Reese Cooper Wilson Hiking Boots",13,"Condition Gently Used","Color Black","Size Men's / US 8.5 / EU 41-42",420,4,FALSE,"Worn only a handful of times. Has all the original laces and dust bag. These are a great looking boot. They are tagged a size 42 which is around a us 8.5. I would say these boots run big. They feel like a 9.5 us.","Footwear"
"Reese Cooper","Reese Cooper Iconic Boots",134,"Condition Gently Used","Color Beige","Size Men's / US 11 / EU 44",500,8,FALSE,"Worn Twice
Cond: 9.6/10
OG everything
Size 44 (i usually wear a size 10/10.5) they fit nice, but a bit roomy tho. Don't hesitate if you're a true 11 / 44 !","Footwear"
"Reese Cooper","Reese cooper boots",8,"Condition Gently Used","Color Black","Size Men's / US 10 / EU 43",400,8,FALSE,"Reese cooper Wilson boot
Black
Worn 5 times
Size 43/10 (us)","Footwear"
"Reese Cooper","Wilson Hiking Boot",39,"Condition New","Color Dark yellow","Size Men's / US 10 / EU 43",325,8,FALSE,"Reese Cooper Wilson Hiking Boot in dark yellow suede. Size 43. Amazing boot in the best color way this season. Vibram sole. Fully lined in leather. Made in Italy. Sold out on Reese Cooper in this size. New without box.
Comes from a pet-free, smoke-free home. I usually ship next business day. Duties/taxes not included for shipping outside the US. All sales final. Message me with any questions.","Footwear"
"Reese Cooper","Reese Cooper Wilson Boots",18,"Condition New","Color Black","Size Men's / US 9 / EU 42",400,12,FALSE,"brand new in box with dust bag","Footwear"
"Reese Cooper","Reese Cooper Wilson Boot Beige",10,"Condition Gently Used","Color Beige","Size Men's / US 8 / EU 41",450,9,FALSE,"Wilson Boot
Beige
Size 41 (26cm)
Cond 9.8/10
No flaws worn 2 times","Footwear"
"Reese Cooper","Reese Cooper Wilson Boot Size9 UK42",92,"Condition New","Color Biege","Size Men's / US 9 / EU 42",506,14,FALSE,"Wilson Boot by Reese Cooper
Beige Suede
Brand New 10/10
Size 9 US or Size 42
Vibram sole","Footwear"
"Reese Cooper","Wilson Boot in Black Ballistic Nylon",14,"Condition Gently Used","Color Black","Size Men's / US 10 / EU 43",440,8,FALSE,"The Wilson Boot is a hiking boot that can be worn on & off the trail with ease. Handcrafted in Italy with ballistic nylon and supported by our favourite Vibram sole. The Wilson comes with 3 pairs of laces & about 100+ ways to tie them.
I just cleaned these so they may look slightly wet in some areas. Comes with everything included in original package (laces, dust bag, etc).","Footwear"
"Reese Cooper","Wilson Boots",13,"Condition Gently Used","Color Beige","Size Men's / US 11 / EU 44",300,6,FALSE,"• Worn Once
• Stained Box (Discounted)
• Need Gone .. Looking To Replace <U+0001F4AF>
• Next Day Shipping","Footwear"
"Reese Cooper","Reese Cooper Wilson Boots",12,"Condition Gently Used","Color Beige","Size Men's / US 14 / EU 47",310,6,FALSE,"Great condition
Worn twice
Do not have box","Footwear"
"Reese Cooper","Reese Cooper Wilson Boot Black - size 41",21,"Condition Gently Used","Color Black","Size Men's / US 8.5 / EU 41-42",290,7,FALSE,"Size 41
OG everything and that means all of it
Worn maybe 5-10x","Footwear"
"Reese Cooper","REESE COOPER WILSON BOOTS",12,"Condition Gently Used","Color Black","Size Men's / US 10 / EU 43",240,6,FALSE,"Black and green colorway
Comes with cream laces that’s already on it.
Doesn’t come with original box
Super beautiful boot
Great condition
Send offers
Judge condition off of photos!","Footwear"
"Reese Cooper","Reece Cooper // Wilson Boots SEND OFFERS",36,"Condition Gently Used","Color Beige","Size Men's / US 11.5 / EU 44-45",390,12,FALSE,"Reece Cooper // Wilson Boots SEND OFFERS
8/10
Great Condition
No Wear On Soles
Offer Away","Footwear"
"Reese Cooper","Reese Cooper Wilson Boot Beige Suede Size 39",56,"Condition Gently Used","Color Beige","Size Men's / US 7 / EU 40",315,5,FALSE,"Worn x1
Comes with original everything
Made in Italy
SIZE 39
The sizing chart on the website converts these to 6 3/4","Footwear"
"Reese Cooper","Hand painted Wilson boots",35,"Condition New","Color Grey","Size Men's / US 11 / EU 44",400,11,FALSE,"The iconic Reese Cooper Wilson boot but with a flare, entirely suede exterior for the boots and the hand painted bottoms from the open house livestream.
Only one in each size meaning this is the only size 11
Comes with three different lace colors, dust bag and recyclable box.!!! The paint is not coated whatsoever so the paint will only continue to chip away with transportation and usage.
Open to offers :)","Footwear"
"Reese Cooper","Wilson Boot Black Ballistic Nylon 42",67,"Condition New","Color Black","Size Men's / US 9 / EU 42",560,10,FALSE,"Wilson Boot Black Ballistic Nylon
Size 42 or 9US
New
Comes with the Black & Green laces","Footwear"
"Reese Cooper","Reese Cooper Wilson Boot Black Ballistic Nylon",23,"Condition Used","Color Black","Size Men's / US 13 / EU 46",460,7,FALSE,"• Vibram sole
• Ballistic nylon upper
• Rubberised coating covering the seam connecting sole & upper
• Full leather lining
• RCI insole
• 3 lace options included
• Double speed hooks
• RCI ankle lace eyelet detail
• MADE IN ITALY
Worn lightly, send offers willing to negotiate","Footwear"
"Reese Cooper","Reece Cooper // Wilson Boots SEND OFFERS",22,"Condition Gently Used","Color Beige","Size Men's / US 11.5 / EU 44-45",296,6,FALSE,"Reece Cooper // Wilson Boots SEND OFFERS
8/10
Great Condition
No Wear On Soles
Offer Away","Footwear"
"Reese Cooper","Reese Cooper Wilson Boots",68,"Condition Gently Used","Color Black","Size Men's / US 11 / EU 44",411,5,FALSE,"-Pretty much new but I don’t wear them as much as I thought I would.
-Comes with box and extra laces!
•Green Laces
•Cream Laces
-Size 44 EU / US 11","Footwear"
"Reese Cooper","Reese Cooper Wilson Boot Black Ballistic Nylon",16,"Condition Used","Color Black","Size Men's / US 13 / EU 46",350,7,FALSE,"• Vibram sole
• Ballistic nylon upper
• Rubberised coating covering the seam connecting sole & upper
• Full leather lining
• RCI insole
• 3 lace options included
• Double speed hooks
• RCI ankle lace eyelet detail
• MADE IN ITALY
Worn lightly, send offers willing to negotiate","Footwear"
"Reese Cooper","Reese Cooper Wilson Boot",18,"Condition New","Color Beige","Size Men's / US 7.5 / EU 40-41",365,9,FALSE,"New with laces, bandana, and dust bag.
Just tried on and but it’s too narrow for my foot
Pristine condition.
Offer up.","Footwear"
"Reese Cooper × Vibram","Reese Cooper Wilson Boot",83,"Condition Gently Used","Color Tan","Size Men's / US 11 / EU 44",480,5,FALSE,"Comes with extra laces and dust bag
Message me if you have any questions","Footwear"
