Brand_Name,Item_Name,Number_Likes,Condition,Color,Size,Price,Img_Length,Measurements,Description
Reese Cooper,Postcard Shirt,0,Condition Used,Color Grey,Size Men's / US L / EU 52-54 / 3,$95 ,2,TRUE,"Condition 8/10
Reese Cooper refers to the color as gray but looks like a olive color
Message with any questions at all"
Bare Knuckles × Reese Cooper × Vintage,Giannetti Factory Excess Hoodie,91,Condition Gently Used,Color Grey,Size Men's / US M / EU 48-50 / 2,$135 ,3,TRUE,"Super cozy hoodie with an oil wash
Boxy cropped with long sleeves
One size fits all but closest to m/l
Same factory as Reese cooper and bare knuckles"
Reese Cooper,Reese Cooper Hoodie,5,Condition Gently Used,Color Green,Size Men's / US XL / EU 56 / 4,$125 ,9,FALSE,"Worn a few times, like new condition, please message me with any offers or questions.
(Product is final sale when sold, client agrees to no exchange or return policy)"
Reese Cooper,Reese Cooper Flannel Button Up Shirt,21,Condition New,Color Black,Size Men's / US M / EU 48-50 / 2,$118 ,5,FALSE,"Reese Cooper Flannel Button Up Shirt
Size: M/L
Color: Black/Cream White/Grey
New Condition/Never Worn
Open to offers feel free to message me!
Message me before purchasing!
Measurements:
Pit-to-pit: 23
Sleeve: 24
Neck to shoulder: 8
Front length: 27.5
Back length: 29
Hem: 23"
Reese Cooper,Reese Cooper Cropped Flannel SS20,80,Condition Worn,Color Green,Size Men's / US M / EU 48-50 / 2,$120 ,4,FALSE,"Reese Cooper SS20 Flannel Size M - Fits Like Small (See Measurements)
Boxy, cropped fit.
Missing one button (3rd photo)
Chest: 22
Length: 23
Shoulder: 17
Sleeve: 24"
Reese Cooper,Reese Cooper 'Hunting With Hawks' Sweater Spring/Summer 2021,42,Condition Gently Used,Color Beige,Size Men's / US S / EU 44-46 / 1,$110 ,3,FALSE,"Reese Cooper 'Hunting With Hawks' Sweater
Size Small
Perfect Condition (worn once)
Amazing quality and insanely warm
Message with offers and questions!"
Reese Cooper,Reese cooper flannel button up,26,Condition Used,Color Black,Size Men's / US S / EU 44-46 / 1,$115 ,3,TRUE,Boxy fit
Reese Cooper,Cargo Shirt,87,Condition Gently Used,Color Olive,Size Men's / US M / EU 48-50 / 2,$170 ,6,FALSE,"-This is the final price for this item
+ Selling a beautiful Reese Cooper Cargo Shirt in Green. Size Medium
+ Condition is very gently worn. Will come with all original Reese tagging.
+ Items will be shipped out either same day or the following day, typically delivered within 1-3 days
+ 96 items sold since 2014 with 5/5 stars, just another dude funding his clothing addiction
+ No refunds or returns so please ask any questions prior to purchase"
Reese Cooper,$598 Reese Cooper Hunting with Hawks Knit Sweater - Size L,47,Condition Gently Used,Color Cream,Size Men's / US L / EU 52-54 / 3,$270 ,9,TRUE,"100 Authentic
Condition: Gently Used
Size: Large
Item Description: Crafted in Los Angeles, this sweater is intarsia knit out of Italian Virgin Wool. Inspired by vintage hunting catalogs, this sweater features bold typography on the front and a flying hawk on the back. The thick yarn used to knit gives it a heavy weight but soft hand feel.
Cropped fit, long sleeves. Awesome piece. Retail was $598.
Shipping: No returns. All sales final. Located in Philadelphia.
Let me know if you have any questions and have a great day!"
Reese Cooper,Reese Cooper RCI Eagle Aged Crew Sweat,13,Condition Gently Used,Color Yellow,Size Men's / US L / EU 52-54 / 3,$102 ,5,TRUE,"Excellent condition
100% cotton
Size L and true to size
Shipping from Germany
Hmu if u have any questions"
Reese Cooper,Reese Cooper Hitchhiking Double Layered Flannel Shirt,57,Condition Gently Used,Color Red,Size Men's / US M / EU 48-50 / 2,$110 ,8,TRUE,"great condition, only worn a couple times, tagged medium
buy with confidence
items may or may not run true to size so please refer to the measurements
shipping from calgary, alberta, canada
bundle deal friendly!
don’t hesitate to send an offer
all sales are final - no major flaws unless listed"
Reese Cooper,Grey Cargo Flannel,9,Condition Gently Used,Color Grey,Size Men's / US M / EU 48-50 / 2,$115 ,7,TRUE,"In perfect condition
All sales are final
DM me if you have any questions"
Reese Cooper,Reese Cooper Flannel Shirt,61,Condition Gently Used,Color Green,Size Men's / US L / EU 52-54 / 3,$100 ,4,TRUE,"Gently used
Cropped fit"
Reese Cooper,Reese Cooper Western Wildfires Sweater,26,Condition Used,Color Blue,Size Men's / US XL / EU 56 / 4,$182 ,7,TRUE,"Worn once, ships next day"
Reese Cooper,Reese Cooper Forest Collegiate Distressed Knit Sweater,87,Condition New,Color Tan,Size Men's / US M / EU 48-50 / 2,$240 ,9,TRUE,"Condition: Brand New
Size: Medium
Shipping: Ships within 2 business days
Feel free to ask any other questions!
No trades
ALL SALES FINAL
Reese Cooper"
Reese Cooper,reese cooper utility cargo pocket camp shirt,2,Condition Gently Used,Color Black,Size Men's / US S / EU 44-46 / 1,$150 ,6,FALSE,"retail 290 usd
gently worn 8/10 condition top button is a bit loose
6 pockets total can carry a sandwich a wrench a 30 clip and a baby all in the same shirt"
Reese Cooper,Reese Cooper post office knit sweater,11,Condition Gently Used,Color Cream,Size Men's / US L / EU 52-54 / 3,$200 ,6,TRUE,"This knit is beautiful features embroidery and knit inertia graphics. Super detailed Reese Cooper piece. The graphic is of a post office but is featured Allover the sweater. Beautiful heavy weight as well. Size large, be aware it has a cropped fit. 9/10 condition near brand new."
Reese Cooper,Reese Cooper water color camo shirt,6,Condition Gently Used,Color Blue,Size Men's / US S / EU 44-46 / 1,$187 ,3,FALSE,"Size small
Discontinued
$360 MSRP
US Shipping only"
