"","brand_name","item_name","number_likes","condition","color","size","price","img_length","measurements","description"
"1","Reese Cooper","Reese Cooper Wilson Boots","25","Condition New","Color Black","Size Men's / US 8 / EU 41","$308",8,FALSE,"Reese Cooper Wilson Boot in Black Ballistic Nylon. New, never worn. Two extra pairs of laces.
Size 41. Originally bought for $598. No box."
"2","Reese Cooper","Wilson Boots (OG Colorway)","7","Condition Gently Used","Color Beige suede","Size Men's / US 11 / EU 44","$369",7,FALSE,"Retail: $598
Send Offers"
"3","Reese Cooper","Reese Cooper Wilson Boot in Beige Suede","57","Condition Gently Used","Color Cream","Size Men's / US 10 / EU 43","$345",17,FALSE,"Reese staple
Size 43; Fits US 10
Gently used in the sense i only worn a couple times
Has a hint of red from when I hiked in the Grand Canyon
Other than that pretty good condition
Comes with all laces, dust bags and boots only"
"4","Reese Cooper","Reese Cooper Wilson Boot In Black Ballistic Nylon","13","Condition Gently Used","Color Black","Size Men's / US 12.5 / EU 45-46","$445",10,FALSE,"Like new, gently worn. European size is 46."
"5","Reese Cooper","Reese Cooper Wilson Boot in Beige Suede","43","Condition Gently Used","Color Cream","Size Men's / US 10 / EU 43","$283",17,FALSE,"Reese staple
Size 43; Fits US 10
Gently used in the sense i only worn a couple times
Has a hint of red from when I hiked in the Grand Canyon
Other than that pretty good condition
Comes with all laces, dust bags and boots only"
"6","Reese Cooper","Reese Cooper Wilson Boot","15","Condition Gently Used","Color Beige","Size Men's / US 11.5 / EU 44-45","$300",7,FALSE,"Reese Cooper Wilson Boot. Purchased from reese cooper in 2021. Only worn once for like 15 mins. so basically brand new! Size EU 45/US 11.5. Open to offers and shipping us only rn. DM for international shipping."
"7","Reese Cooper","Reese Cooper Wilson Boot 43","33","Condition New","Color Beige","Size Men's / US 10 / EU 43","$310",7,FALSE,"New never worn in box."
"8","Reese Cooper","WILSON BOOT IN BLACK BALLISTIC NYLON","4","Condition New","Color Black","Size Men's / US 8 / EU 41","$400",8,FALSE,"Amazing condition, I've only put them on once to try them on. A tad too small for me, unfortunately. I bought these boots on the ssense website for $598. Comes with two other laces and is in its original shoebox!
DESCRIPTION:
Named after the incredible show location for our AW21 collection and show, Pyrophyte, the Wilson Boot is a hiking boot that can be worn on & off the trail with ease. Handcrafted in Italy with ballistic nylon and supported by our favorite Vibram sole. The Wilson comes with 3 pairs of laces & about 100+ ways to tie them.
DETAILS:
• Vibram sole
• Ballistic nylon upper
• Rubberised coating covering the seam connecting sole & upper
• Full leather lining
• RCI insole
• 3 lace options included
• Double speed hooks
• RCI ankle lace eyelet detail
• MADE IN ITALY"
"9","Reese Cooper","Reece Cooper Wilson Boots Size 45","41","Condition Gently Used","Color Beige","Size Men's / US 11.5 / EU 44-45","$200",11,FALSE,"Reece Cooper Wilson Boots
Sizing is closer to US 11.5. I am a TTS US 12, so these were too small.
8/10 Great Condition
Minimal Wear On Soles
Comes with red and beige laces. Original box included.
Open to offers.
Shipping from Toronto."
"10","Reese Cooper","Wilson Hiking Trail Boot Beige Suede 42 9/9.5","77","Condition Gently Used","Color Beige","Size Men's / US 9 / EU 42","$425",9,FALSE,"Worn ~10x
Great boot, just downsizing my rotation.
Comes with all 3 laces and OG box.
Ships asap.
Fits tts 9-9.5.
As is
Retail $598.
• Vibram sole
• Italian suede upper
• Rubberised coating covering the seam connecting sole & upper
• Full leather lining
• RCI insole
• 3 lace options included
• Double speed hooks
• RCI ankle lace eyelet detail
• MADE IN ITALY"
