"","brand_name","item_name","number_likes","condition","color","size","price","img_length","measurements","description"
"1","Reese Cooper","Fever Dream Cargo Short","4","Condition Gently Used","Color Black","Size Men's / US 30 / EU 46","$70",3,TRUE,"Heavy nylon
Snap fly, cinch back
Drop cargo pocket
CDG style"
"2","Reese Cooper","Reese cooper hanging cargo pocket short","7","Condition Gently Used","Color Black","Size Men's / US 28 / EU 44","$65",6,TRUE,"Rick esque cargo shorts from one of Reese coopers first collections
Super nice material almost feels like a super thick crushed nylon but is still 40% cotton
10 pockets in total which is crazy 4 hidden pockets"
"3","Reese Cooper","New Reese Cooper Sweatpants Black Size Small","2","Condition New","Color Black","Size Men's / US 30 / EU 46","$100",6,TRUE,"These are a Brand New Pair of Reese Cooper Black Sweatpants in a Size Small
100% Cotton
New with Tags
Made In USA
MSRP: $348"
"4","Reese Cooper","River Runs Through SS21 Cargo Pants Cotton","9","Condition New","Color White","Size Men's / US 36 / EU 52","$145",5,TRUE,"Brand new with tag. Retails $360+ Perfect for spring."
"5","Levi's × Reese Cooper","RCI x Levi’s Straight Fit Canvas Pant","4","Condition Gently Used","Color Cream","Size Men's / US 28 / EU 44","$85",5,TRUE,"Reese cooper x Levi’s pant in Natural color
Retailed at $100
Attached signature RC belt hook, green RCI stitching on the knee, and RCI X Levi tag on the back
Straight fit

Worn lightly. 9/10 condition
**no returns**
**no international shipping**"
"6","Reese Cooper","Reese Cooper coordinates paint splatter jeans","11","Condition Gently Used","Color Denim","Size Men's / US 30 / EU 46","$126",9,TRUE,"Beautiful pair of jeans from the lone pine AW18 collection
They’re labeled a size 28 but the waist measures 30”
Nearly new, only worn a handful of times
Paint splatter on the front with coordinates embroidered on the thigh
Message bio for offers"
"7","Reese Cooper","Reese Cooper Canyon Camo Cargo Pants","18","Condition Gently Used","Color Canyon","Size Men's / US 34 / EU 50","$200",7,TRUE,"Gently worn SS21 Canyon Camo cargo pants by Reese Cooper. Only worn a handful of times, dry cleaned and stored since Spring. Great pair of baggy fit cargos with a very unique camo print, called “canyon camo”. This pair also features drawstrings on/in the cargo pockets, as well as at the leg openings so you can alter the fit.
Please ask any and all questions before purchasing or submitting a binding offer. I usually ship within 48 hours of purchase.
All sales are finals, no returns."
"8","Reese Cooper","Reese Cooper Shorts","6","Condition Gently Used","Color Red","Size Men's / US 32 / EU 48","$89",2,FALSE,"RED REESE COOPER SHORTS
They didn't have a filter for Reese? smh
size 32-33
Excellent Condition, Only worn twice
Please buy with confidence"
"9","Reese Cooper","Reese Cooper Sweatpants","17","Condition Gently Used","Color Black","Size Men's / US 32 / EU 48","$120",7,TRUE,"Title: Reese Cooper Sweatpants
Color: Black
Size: Medium
Measurements:
-Inseam (Crotch to Bottom): 31""
-Outseam (Full Length): 42""
-Waist: 30-34""
The condition of this item is pre-owned. There are no flaws, just normal wear. Please view all photos provided to ensure that the condition of the item suits you.
If you have any questions at all please don’t hesitate to message me. Thank you for shopping and please check out my other listings!"
"10","Reese Cooper","Reese Cooper Drop Pocket Cargo Shorts","24","Condition Used","Color Black","Size Men's / US 30 / EU 46","$90",7,TRUE,"Good condition
Super cool and unique design, total of 8 pockets
Tagged 32 but fit closer to size 30-31
All measurements are flat across (and the waist is stretchy)
The zipper sometimes gets undone but I think it’s because they are too small on me"
"11","Reese Cooper","Reese Cooper Double Knee Work Pants","5","Condition Gently Used","Color Brown","Size Men's / US 32 / EU 48","$90",5,FALSE,"Size 32
Gently used"
"12","Levi's × Reese Cooper","Reese Cooper x Levi’s rare jeans collab","40","Condition Gently Used","Color Blue","Size Men's / US 34 / EU 50","$85",5,TRUE,"Really good condition dope details, awesome color and flawless. This is a Reese Cooper and Levi’s collab. Pm for question"
"13","Levi's × Reese Cooper","RCI X Levi's Straight Fit Denim Jean","12","Condition New","Color Dark blue wash","Size Men's / US 30 / EU 46","$140",6,TRUE,"Reese Cooper X Levi's Straight Fit Denim Jean
Size 30W x 34L
RCI badging above knee
Patch style pockets
Metal Hook feature"
"14","Reese Cooper","Reese Cooper Two-Tone Khaki Carpenter Pants","3","Condition Gently Used","Color Khaki","Size Men's / US 32 / EU 48","$330",7,TRUE,"100% Authentic
Super Rare
Size 32
Excellent Condition
All sales are final. Check out other heat on my page!"
"15","Levi's × Reese Cooper","Reese Cooper x Levi’s Green Duck denim jeans (32x34)","0","Condition Gently Used","Color Green","Size Men's / US 32 / EU 48","$160",4,TRUE,"Reese Cooper x Levi’s Green Duck denim jeans (32x34)
Worn once in great condition - Offer Up!"
"16","Levi's × Reese Cooper","Reese Cooper x Levi’s Straight Fit Duck Canvas Pant","38","Condition Gently Used","Color Green","Size Men's / US 34 / EU 50","$95",6,TRUE,"Forest Green. Sick pair of pants, signature Reese Cooper carabiner. Great color. Excellent condition 9/10. Open to offers!"
"17","Reese Cooper","Outdoor Supply Waxed Cotton Pant in Khaki","28","Condition New","Color Khaki","Size Men's / US 34 / EU 50","$155",6,TRUE,"Light pant perfect for the summer. Retail was $428.
Only tried on once. The pant runs small. Fits a size 32 better. I fit 33/34 and this didn't fit well (too much junk in trunk) <U+0001F614>"
"18","Reese Cooper","Reese Cooper Nylon Cargo Shorts","12","Condition Used","Color Black","Size Men's / US 34 / EU 50","$60",5,TRUE,"Nylon grosgrain shorts in black. Four-pocket styling. Drawstring at elasticized waistband. Flap pockets at front.
HOW A LETTER TRAVELS collection
Condition 8/10"
"19","Levi's × Reese Cooper","Levis Reese Cooper Straight Denim Jeans","15","Condition New","Color Beige","Size Men's / US 34 / EU 50","$155",4,FALSE,"brand new with tags"
"20","Reese Cooper","Reese cooper jean shorts","6","Condition Gently Used","Color Blue","Size Men's / US 32 / EU 48","$90",5,FALSE,"Reese cooper custom jean shorts
Size 32 fits 32-33
In great condition - no flaws to note
These shorts are NOT sold by Reese cooper - they are jeans which were cut into shorts
Message me for all inquiries. Can provide a more accurate shipping quote for your location if requested. Thanks for viewing!"
"21","Reese Cooper","REESE COOPER Plaid Ripstop Wide-Leg Pants","23","Condition Used","Color Blue","Size Men's / US 34 / EU 50","$124",5,FALSE,"REESE COOPER Plaid Ripstop Wide-Leg Pants
retail ~$400
from autumn/winter 2022 two steps forward collection
size medium/large unisex
PROFESSIONALLY TAILORED for CROPPED fit see measurements
worn ONCE almost brand new
fits normally on someone around 5'9
From the Two Steps Forward Collection. An exaggerated wide-leg silhouette defines Reese Cooper’s plaid pants, cut from sporty ripstop nylon.
Elasticized drawstring waistband
Pull-on style
On-seam pockets
Back patch pockets
Polyester
Dry clean
Made in USA
modern / streetwear / luxury / designer
COLOR: navy
Keywords/similar to: ssense farfetch saks
general hashtags : #rare #unique #vintage #streetwear #trending"
"22","Reese Cooper","Reese Cooper Cargo Work Pants","87","Condition New","Color Khaki","Size Men's / US 34 / EU 50","$280",6,FALSE,"New without tags. Size 34. Message me with any questions!"
"23","Levi's × Reese Cooper","Reese Cooper x Levis Straight Fit Jeans","36","Condition Gently Used","Color Blue denim","Size Men's / US 32 / EU 48","$96",3,FALSE,"Condition: 9/10
Worn a few times but still in great condition.
32 waist 34 length"
"24","Levi's × Reese Cooper","Levis Reese Cooper Straight Denim Jeans","16","Condition New","Color Beige","Size Men's / US 32 / EU 48","$150",4,FALSE,"brand new with tags"
"25","Reese Cooper","Reese Cooper Brushed Cotton Cargos","3","Condition New","Color Blue","Size Men's / US 30 / EU 46","$200",8,TRUE,"SS22 “Fresh Air”
Never worn, 10/10 condition.
Retail:$400+
*FINAL SALE* NO RETURNS"
"26","Reese Cooper","AW 2021 Pyrophyte Cotton Cargo Pants","7","Condition Used","Color Black","Size Men's / US 32 / EU 48","$165",5,TRUE,"A bit of fading. Good condition. Loose straight fit.
Ships from nyc in 3-5 days."
"27","Reese Cooper × Streetwear","Black Relaxed Fit Trousers","13","Condition New","Color Black","Size Men's / US 34 / EU 50","$70",6,FALSE,"Beautiful pair of black pleated trousers from Reese cooper.
Wide legged relaxed fit
Insanely nice quality and details
BRAND NEW"
"28","Reese Cooper","Nylon Cargo Shorts Green","28","Condition New","Color Green","Size Men's / US 27","$63",4,TRUE,"Reese Cooper
Nylon Cargo Shorts
Green
New w/o tags
originally $325
The “HOW A LETTER TRAVELS” tag is loose on the left side."
"29","Reese Cooper","Nylon Cargo Short","31","Condition Used","Color Green","Size Men's / US 30 / EU 46","$115",3,TRUE,"Purchased directly from Reese Cooper
Retailed around $300
Lightweight Cordura nylon cargo short
Great summer short
I am doing a closet clearout, so I am doing package deals!
Open to offers
You are buying the item as is so please look at the pics carefully and ask any questions beforehand. Once the item is shipped it is no longer my responsibility(fees, duties, taxes), no returns or refunds."
"30","Reese Cooper","RCI Single Pocket Pants","9","Condition Used","Color Grayish green?","Size Men's / US 30 / EU 46","$81",8,TRUE,"RCI pants from “how a letter travels”
Pocket on leg of pants has a zipper on the side with a “hidden” pocket. These were ripped and repaired on the sides - see pics"
"31","Reese Cooper","Reese Cooper Ripstop Cargo Short Grey Trail Map Camo Medium","22","Condition New","Color Grey","Size Men's / US 30 / EU 46","$100",7,FALSE,"Reese Cooper Ripstop Cargo Short Grey Trail Map Camo
Size Medium
Brand New"
"32","Reese Cooper","Reese Cooper Logo Sweatpants","7","Condition Used","Color Black","Size Men's / US 30 / EU 46","$135",6,FALSE,"High quality pants
Fit baggy
Could fit waist size 29-31
Will ship same or next day!"
"33","Grail × Reese Cooper × Streetwear","BRUSHED COTTON CANVAS CARGO PANTS","20","Condition Gently Used","Color Black","Size Men's / US 36 / EU 52","$150",11,TRUE,"**READ THIS FIRST**
• If you're just here to be a dick, keep it moving and take that shit elsewhere <U+0001F60A>
• No returns. If you have a question or need more pics please ask.
• No refunds. If you have a question or need more pics please ask.
• Ships anywhere within the USA usually 2-day priority.
• Overseas shipping is available <U+0001F6A8>BUT YOU MUST PAY SHIPPING AND IT'S NOT CHEAP<U+0001F6A8> I don't set the prices, that's just the reality of international shipping, PLEASE DO NOT COMPLAIN ABOUT SHIPPING PRICES!
• Please ask all questions before making offers. Offers are BINDING so once I accept the payment goes through.
• Serious inquiries only please.
• If you lowball please stop using Grailed. You will be ignored and blocked.
• Shipping times may take up to 7 days depending on location.
• Bundle discount on two or more items purchased, check out my other stuff for sale! <U+270C><U+FE0F><U+0001F918><U+0001F91D>
Worn but no visible flaws/stains, still in great condition.
Drawstrings on the cargo pockets on the back which give it a unique look and the ability to cinch at the knee.
Drawstring bottom hems.
Some heel drag on the hems, nothing crazy. Just gives them character really.
Fit pics for reference.
Retail was $450
100% Cotton
Zipper Fly
Welt Hand Pockets
Cargo Patch Pockets on Front with Snap Closure
Patch Pockets on Rear
Darting at Knee
RCI Signature Hook Detail
Draw String Cuffs
Model is 6’3” - 170lbs wearing a 34"
"34","Levi's × Reese Cooper","Levis Reese Cooper Straight Denim Jeans","11","Condition New","Color Navy","Size Men's / US 36 / EU 52","$160",4,FALSE,"brand new with tags"
"35","Reese Cooper","Reese Cooper RCI Forest Service Sweats","25","Condition Gently Used","Color Green","Size Men's / US 32 / EU 48","$85",7,FALSE,"Size M
9/10 Condition"
"36","Reese Cooper","Reese Cooper RCI Logo Embroidered Sweatpants","4","Condition New","Color Black","Size Men's / US 28 / EU 44","$99",6,FALSE,"Reese Cooper RCI Logo Embroidered Sweatpants In Black.
No longer on the Reese Cooper website.
Size XS
I purchased this item on the Reese Cooper website. Never washed or worn, only when trying it on. I can ship this out same day it is purchased. Feel free to message me for more information. Thanks!"
"37","Reese Cooper × Vintage","Vintage Reese Cooper SS21 Camo Tactical Pants","28","Condition Gently Used","Color Tan camo","Size Men's / US 34 / EU 50","$158",4,TRUE,"great condition."
"38","Levi's × Reese Cooper","Levis Reese Cooper Straight Denim Jeans","7","Condition New","Color Beige","Size Men's / US 32 / EU 48","$160",4,FALSE,"brand new with tags"
"39","Reese Cooper","Reese Cooper Brushed Cotton Canvas Cargo Pants in Black","19","Condition New","Color Black","Size Men's / US 32 / EU 48","$280",9,TRUE,"Condition: Brand New
Size: 32
Shipping: Ships within 2 business days
Feel free to ask any other questions!
No trades
ALL SALES FINAL
Reese Cooper"
"40","Reese Cooper","Reese Cooper Nylon shorts","13","Condition Gently Used","Color Green","Size Men's / US 32 / EU 48","$107",4,FALSE,"Nylon cargo shorts from reese cooper
Worn maybe 3 times
100% nylon
Waist fits like a 31-32, minimal stretch."
"41","Levi's × Reese Cooper","Levis Reese Cooper Straight Denim Jeans","6","Condition New","Color Navy","Size Men's / US 34 / EU 50","$150",5,FALSE,"brand new with tags"
"42","Reese Cooper","Reese Cooper Brushed Canvas Cargo Pants Oat Grass","12","Condition New","Color Beige","Size Men's / US 32 / EU 48","$132",5,TRUE,"Reese Cooper Brushed Canvas Cargo Pants Oat Grass size 32. New never worn. Purchased from 2022 collection."
"43","Reese Cooper","Reese Cooper Fever Dream paint splatter carpenter pants","67","Condition Gently Used","Color Black","Size Men's / US 32 / EU 48","$259",10,FALSE,"Reese Cooper Washed Black Denim Paint Splatter Carpenter pants from Fever Dream collection
Size tag says 32 but fits like 33 waist. Barely worn"
