,brand_name,item_name,number_likes,condition,color,size,price,img_length,measurements,description
1,Reese Cooper,Reese Cooper Special Projects collegiate hoodie,27,Condition Used,Color Grey,Size Men's / US M / EU 48-50 / 2,$90 ,6,FALSE,"Awesome one of one piece from early Reese Cooper days. Tagged M but fits like a small in my experience. Used, but priced accordingly. Good condition. Feel free to message me with any questions!"
2,Reese Cooper,Charlie Giannetti Excess Hoodie,5,Condition Used,Color Black,Size Men's / US M / EU 48-50 / 2,$165 ,4,TRUE,Excess hoodie in black - cropped boxy fit
3,Reese Cooper,Reese Cooper Call of the Wild Hoodie,13,Condition New,Color Black,Size Men's / US M / EU 48-50 / 2,$120 ,4,FALSE,Brand new still in packaging
4,Reese Cooper,Reese Cooper Printed Hoodie,65,Condition Gently Used,Color Green,Size Men's / US XL / EU 56 / 4,$90 ,7,TRUE,"Mr Porter exclusive purchased September 2021. Gently used. On model pic is not mine, belongs to Mr Porter. Lmk if any questions!"
5,Bare Knuckles × Other × Reese Cooper,Gianetti Patina Farms Heavy Cropped Hoodie Medium,4,Condition Used,Color Cream,Size Men's / US M / EU 48-50 / 2,$27 ,9,TRUE,"Made by Gianetti. Same mfg. house as Reese Cooper and Bare Knuckles
High quality durable and soft fleece
Cropped fit
MENS Size Medium"
6,Reese Cooper,ReeseCooper Duck Hoodie,34,Condition New,Color Green,Size Men's / US M / EU 48-50 / 2,$95 ,11,TRUE,"New/never worn
Size: M
Cropped baggy fit
NO RETURNS, REFUNDS OR EXCHANGE—-*FINAL SALE*"
7,Reese Cooper,Reese Cooper Pyrophyte 2021 Call of the Wild Hoodie,15,Condition Gently Used,Color Violet,Size Men's / US M / EU 48-50 / 2,$130 ,6,TRUE,Reese cooper pyrophyte hoodie. Best fitting hoodie I’ve owned. Slight wear but no major flaws!
8,Reese Cooper,Juliet Johnstone Flower Fleece,4,Condition Gently Used,Color White,Size Men's / US M / EU 48-50 / 2,$240 ,2,TRUE,"Worn only a few times, no major flaws
Message me if you have any questions"
9,Reese Cooper,Reese Cooper Forest Service Crewneck,33,Condition New,Color Black,Size Men's / US L / EU 52-54 / 3,$90 ,3,TRUE,Brand new with tags
10,Reese Cooper,Reese Cooper Lone Pine Sweatshirt,15,Condition Gently Used,Color Grey,Size Men's / US L / EU 52-54 / 3,$115 ,4,TRUE,"From the Lone Pines sample sale.
Was never put into full production, extremely rare piece."
11,Reese Cooper,Reese Cooper Motel Sweatshirt,10,Condition Gently Used,Color Navy,Size Men's / US M / EU 48-50 / 2,$95 ,5,TRUE,Reese Cooper Reese Cooper Motel Sweatshirt size medium. No flaws. Message with any questions
12,Reese Cooper,Reese Cooper Birds Hooded Sweatshirt,7,Condition New,Color Forest green,Size Men's / US L / EU 52-54 / 3,$240 ,6,TRUE,"________________________________________
Brand New Reese Cooper Inc. Birds Hooded Sweatshirt
SIZE - Large
COLOR - Forest Green
SEASON - Fall / Winter 2022 (FW22)
________________________________________
ABOUT:
With graphics inspired by vintage outdoors magazines, our Birds Hooded Sweatshirt exemplifies the clear brand ethos of exploration, this time under the watch of the night sky.
Our hooded sweatshirt is made from custom American milled heavyweight French terry. It features a double layered hood and a kangaroo pouch pocket and is finished with the RCI sleeve patch.
________________________________________
FEATURES:
-Self fabric lined hood
-Graphics printed on chest, right sleeve, and back
-Front kangaroo pocket
-Signature RCI logo label embroidered above left cuff
-Rib knit cuffs and hem
-Material: 100% cotton
-Made in Los Angeles
________________________________________
TERMS & CONDITIONS:
All sales final. No returns.
Orders will be shipped in 1-3 business days.
International orders will be marked as ""gift""
________________________________________
STANDARD SHIPPING TIMES:
US ˜ 3–7 days
OTHER ˜ 10–20 days
________________________________________"
13,Reese Cooper,Reese Cooper RCI Compass Hoodie in in Forest Green,16,Condition New,Color Green,Size Men's / US M / EU 48-50 / 2,$160 ,8,TRUE,"Condition: Brand New
Size: Medium
Shipping: Ships within 2 business days
Feel free to ask any other questions!
No trades
ALL SALES FINAL
Reese Cooper"
14,Reese Cooper,Reese Cooper Against the Wind Hoodie,13,Condition Used,Color Faded black,Size Men's / US M / EU 48-50 / 2,$90 ,4,TRUE,No flaws except is missing the logo on the sleeve.
15,Reese Cooper,River Runs Through Hoodie,28,Condition Gently Used,Color Blue,Size Men's / US L / EU 52-54 / 3,$85 ,6,TRUE,From the SS21 River Runs Through Collection. Gently used. Lmk if any questions
16,Reese Cooper,DS Reese Cooper RCI Collegiate Hoodie Sweatshirt,26,Condition New,Color Black,Size Men's / US XL / EU 56 / 4,$150 ,7,TRUE,"Check out all my other items on my page, message me if you have any questions!
Item: DS Reese Cooper RCI Collegiate Hoodie Sweatshirt
Size: XL (Pit to Pit - 26.5"", Length - 26"")
Condition: DS 10/10
Brand new, with tags."
17,Reese Cooper,Reese Cooper Birds Hoodie in Green,12,Condition New,Color Green,Size Men's / US XXL / EU 58 / 5,$163 ,9,TRUE,"Condition: Brand New
Size: XXL
Shipping: Ships within 2 business days
Feel free to ask any other questions!
No trades
ALL SALES FINAL
Reese Cooper"
18,Designer × Reese Cooper × Streetwear,Reese cooper green hoodie,15,Condition Gently Used,Color Green,Size Men's / US L / EU 52-54 / 3,$95 ,3,TRUE,"Reese cooper basic embroidery hoodie, feel free to message me with any questions"
19,Reese Cooper,RCI Wind Chill Trading Co. Hooded Sweatshirt,43,Condition Gently Used,Color Red,Size Men's / US M / EU 48-50 / 2,$200 ,1,FALSE,"Great condition.
Not in a hurry to sell, entertaining offers."
20,Reese Cooper,Reese Cooper Bootprint Crewneck Sweatshirt in Coffee Brown,3,Condition New,Color Coffee,Size Men's / US L / EU 52-54 / 3,$130 ,8,FALSE,"Condition: Brand New
Size: Large
Shipping: Ships within 2 business days
Feel free to ask any other questions!
No trades
ALL SALES FINAL
Reese Cooper"
21,Reese Cooper,Reese Cooper RCI Compass Hoodie in in Forest Green,4,Condition New,Color Green,Size Men's / US L / EU 52-54 / 3,$130 ,8,FALSE,"Condition: Brand New
Size: Large
Shipping: Ships within 2 business days
Feel free to ask any other questions!
No trades
ALL SALES FINAL
Reese Cooper"
22,Reese Cooper,If A Tree Falls Hoodie,23,Condition Gently Used,Color Green,Size Men's / US L / EU 52-54 / 3,$95 ,6,TRUE,From the FW20 If A Tree Falls collection. Gently used. Lmk if any questions
23,Reese Cooper,Reese Cooper Birds Hoodie in Black,0,Condition New,Color Black,Size Men's / US XXL / EU 58 / 5,$145 ,8,FALSE,"Condition: Brand New
Size: XXL
Shipping: Ships within 2 business days
Feel free to ask any other questions!
No trades
ALL SALES FINAL
Reese Cooper"
24,Reese Cooper,against the wind hoodie,57,Condition Gently Used,Color Black,Size Men's / US XL / EU 56 / 4,$90 ,4,FALSE,"size xl
beautiful hoodie
fast ship"
25,Reese Cooper,SS 21 RCI International Hooded Sweatshirt,40,Condition Used,Color Black,Size Men's / US S / EU 44-46 / 1,$110 ,6,TRUE,"used, has characteristic fading true to the Reese Cooper ethos"
26,Reese Cooper,Reese Cooper RCI Hoodie,19,Condition Gently Used,Color Olive,Size Men's / US M / EU 48-50 / 2,$100 ,5,FALSE,"-Olive/Green Hoodie
- Size M
- Gently Used
Message me with any questions :)"
27,Reese Cooper,Red Eagle Embroidered Hoodie,9,Condition Used,Color Red,Size Men's / US L / EU 52-54 / 3,$110 ,4,TRUE,"Bought from SSENSE in 2019
Retail is around 500
Super heavy feel and clean fit"
28,Reese Cooper,Reese Cooper Sample Raglan Crewneck,11,Condition Gently Used,Color Green,Size Men's / US L / EU 52-54 / 3,$115 ,5,TRUE,"Great condition, fits a boxy L (24x24). Amazing fit and sage green color, bought from a friend who got this piece very early in the brand’s history. No tags but the heavyweight feel and cut are exactly that of Reese Cooper."
29,Reese Cooper,Reese Cooper Hoodie,9,Condition Gently Used,Color Black,Size Men's / US M / EU 48-50 / 2,$80 ,3,TRUE,"Good condition
Fits tts slightly boxy"
30,Levi's Vintage Clothing × Reese Cooper,Reese Cooper x Levis Strauss Hoodie,16,Condition New,Color Green,Size Men's / US L / EU 52-54 / 3,$150 ,5,FALSE,"Reese Cooper x Levis Strauss Boxy Cropped Hoodie
BNWT - Size L"
31,Reese Cooper,REESE COOPER RCI Eagle Crewneck Sweatshirt in Khaki,1,Condition New,Color Khaki,Size Men's / US XXL / EU 58 / 5,$65 ,9,TRUE,"REESE COOPER
RCI Eagle Crewneck Sweatshirt in Khaki
Size 2xl.
Brand new, never worn. Missing tags.
Reese Cooper sweatshirt in khaki. This crewneck features an oval logo graphic of an eagle on the front left chest in white and brown. The back of the sweatshirt features the same logo enlarged on the center. The left sleeve has a Reese Cooper logo patch sewn on in green. Heavyweight. Crewneck. Ribbed neckline, cuffs and hem. RCI sleeve patch. Eagle logo graphics on front and back. Organic dye process. Materials: 100% cotton. Made in Los Angeles, CA. Runs true to size, but has a close fit.
Please refer to pictures for full condition and specific item condition. If you have any questions or concerns please ask and I will respond as soon as possible. Shipping immediately after purchase with USPS Priority Mail 1-3 business days). Shipping within the USA only. No refunds or returns."
32,Reese Cooper,RCI Deer Aged Hooded Sweatshirt,6,Condition Used,Color Vintage black,Size Men's / US M / EU 48-50 / 2,$72 ,3,TRUE,"Bought from another user but never wore it. Only tried on.
7/10 condition, been sitting in my dresser.
Measured Pit to Pit and Neckline to Hem.
From SS20 ""How A Letter Travels"""
33,Reese Cooper,Reese cooper cabin fever hoodie,1,Condition Gently Used,Color White,Size Men's / US XL / EU 56 / 4,$52 ,4,FALSE,"Small spot near hood
Worn only a couple times
Fits oversized
Flexible on price"
34,Reese Cooper,An Eagle of a Different Feather Hoodie,27,Condition Gently Used,Color Black,Size Men's / US XL / EU 56 / 4,$109 ,7,TRUE,"From the River Runs Through Collection. Purchased directly from Reese Cooper in Oct 2021. On model pic does not belong to me, owned by Farfetch. Lmk if any questions"
35,Reese Cooper,Reese Cooper If a Tree Falls Hoodie,37,Condition New,Color Maroon,Size Men's / US XL / EU 56 / 4,$130 ,8,TRUE,"Condition: Brand New
Size: XL
Shipping: Ships next day!
Feel free to ask any other questions!
No trades
ALL SALES FINAL
Reese Cooper"
36,Reese Cooper,RCI Base Camp Hoodie,2,Condition Gently Used,Color Black,Size Men's / US M / EU 48-50 / 2,$95 ,5,FALSE,"priced to sell
size is US medium and fits tts"
