"","brand_name","item_name","number_likes","condition","color","size","price","img_length","measurements","description"
"1","Reese Cooper","Reese Cooper - “Special Projects” T-Shirt","1","Condition Gently Used","Color Green","Size Men's / US S / EU 44-46 / 1","$65",4,FALSE,"Reese Cooper - “Special Projects” T-Shirt
Size S - (Fits Boxy)
Gently Used
Will Ship in 1-2 Business Days."
"2","Reese Cooper","Reese cooper","18","Condition New","Color Blue","Size Men's / US L / EU 52-54 / 3","$55",5,TRUE,"Super cool blue Reese cooper dye washed heavy duty tee
How a letter travels collection"
"3","Reese Cooper","Reese Cooper Pins Tee - Size XL","29","Condition Gently Used","Color Black","Size Men's / US XL / EU 56 / 4","$67",7,FALSE,"100% Authentic
Condition: Gently Used
Size: XL
Item Description: Super awesome shirt. Worn a good bit but in good condition. Please judge the condition from photos above all else.
Outdoor escapism is at the heart of Reese Cooper’s SS21 collection, and so the drop’s name – River Runs Through – is printed proudly across the back of this white tee. It’s also decorated with a collection of colourful badges at the chest, and expertly crafted in the USA using organic cotton jersey.
100% Organic Cotton
15.5oz Jersey
Garment Dyed
Ribbed Crewneck
Printed Branding
Made in the USA
Shipping: No returns. All sales final.
Let me know if you have any questions and have a great day!"
"4","Reese Cooper","Trees of North America T-Shirt Reese Cooper","9","Condition Gently Used","Color Black","Size Men's / US M / EU 48-50 / 2","$59",3,TRUE,"Reese Cooper T-shirt
Retail $188
Gently used
Offer or message if interested"
"5","Reese Cooper","Reese Cooper White and Green T Shirt (Size Medium)","5","Condition Gently Used","Color White/green","Size Men's / US M / EU 48-50 / 2","$68",5,TRUE,"Reese Cooper White and Green T Shirt (Size Medium)
Great condition only worn once
Offer up !"
"6","Reese Cooper","DS Reese Cooper RCI Land Scape Tee Shirt","14","Condition New","Color Black","Size Men's / US XL / EU 56 / 4","$65",5,TRUE,"Check out all my other items on my page, message me if you have any questions!
Item: DS Reese Cooper RCI Land Scape Tee Shirt
Size: XL (Pit to Pit - 22"", Length - 27.5"")
Condition: DS 10/10
Brand new, never worn."
"7","Reese Cooper","Reese Cooper AW20 Runway Show Tee - Friends & Family","6","Condition Used","Color Cream","Size Men's / US XL / EU 56 / 4","$41",10,TRUE,"Great fit and feel on the tee, but stains throughout unfortunately. See photos. Priced accordingly. Size XL but fits XL or L, boxy fit.
Ships same day or next day."
"8","Reese Cooper","Reese Cooper Fresh Air Runway Tee - Friends & Family Tee","3","Condition Gently Used","Color Sage","Size Men's / US M / EU 48-50 / 2","$50",7,FALSE,"Boxy fit, can fit M or L. Very heavyweight tee, great construction and feel. Friends and family runway tee. Two very faint stains on lower front. Could probably be worked out with a wash.
Ships same day or next day."
"9","Reese Cooper","Reese Cooper We Just Try Hard Tee - Friends & Family Tee","2","Condition Gently Used","Color Red","Size Men's / US L / EU 52-54 / 3","$51",6,FALSE,"Boxy fit, can fit L or M. A friends and family tee for the Water's Edge tee.
Ships same day or next day."
"10","Reese Cooper","Reese Cooper Forest Tee","2","Condition Used","Color Cream","Size Men's / US S / EU 44-46 / 1","$40",6,TRUE,"8/10 Condition (Used with minor cracking on logo - unnoticeable pink mark above the T on graphic)
Length (From bottom of collar to bottom of tee) - 23.75 In"
"11","Reese Cooper","Reese Cooper “all seasons” T shirt","44","Condition Gently Used","Color Blue","Size Men's / US S / EU 44-46 / 1","$63",2,TRUE,"Bought from Reese Cooper site, gently worn , fits as M"
"12","Reese Cooper","Reece Cooper Eagle T-Shirt Slate","8","Condition Gently Used","Color Slate","Size Men's / US M / EU 48-50 / 2","$55",5,TRUE,"- T-shirt has only been tried on
- Bought from Notre Shop
- Offer up"
"13","Reese Cooper","Reese Cooper Trail Running Tee","6","Condition New","Color Cream","Size Men's / US S / EU 44-46 / 1","$60",6,FALSE,"Size Small.
From Spring / Summer 2022 “Fresh Air” collection
High quality garment.
Only selling due to size."
"14","Reese Cooper","Reese Cooper Hollywood Tantrum","18","Condition Gently Used","Color Red","Size Men's / US L / EU 52-54 / 3","$27",4,TRUE,"From his Fever Dream collection. Worn once. very soft :)"
"15","Reese Cooper","Reese Cooper Collegiate T-Shirt in Black","5","Condition Gently Used","Color Black","Size Men's / US XL / EU 56 / 4","$40",3,TRUE,"Used Twice"
"16","Reese Cooper","Reese Cooper T-shirt SS22","16","Condition Gently Used","Color White","Size Men's / US XL / EU 56 / 4","$40",7,TRUE,"Reese Cooper T-shirt
- size: XL
-Spring/Summer 2022
- 9/10 lightly used condition
- Final Sale/No returns"
"17","Reese Cooper","Reese Cooper A/W:21 T-Shirt","2","Condition Gently Used","Color Green","Size Men's / US XL / EU 56 / 4","$42",5,TRUE,"Good Condition
Very slight cracking on the front graphic
Heavyweight Tee
Boxy Fit"
"18","Reese Cooper","Reese Cooper Trees of North America Tee Vintage White XXL","22","Condition New","Color Beige","Size Men's / US XXL / EU 58 / 5","$75",7,TRUE,"Reese Cooper Trees of North America Tee Vintage White
Size: XXL
Brand New"
"19","Reese Cooper","Reese Cooper RCI Trading Company Tee in White","10","Condition New","Color White","Size Men's / US S / EU 44-46 / 1","$79",6,TRUE,"Condition: Brand New
Size: Small
Shipping: Ships within 2 business days
Feel free to ask any other questions!
No trades
ALL SALES FINAL
Reese Cooper"
